interval1,interval2,interval3,message_name,Event_name,Dob,name,address,city,age,gender,pet_name,pet_age

5,,9,Alert,EventA,1990-01-01,Alice,123 Elm St,New York,34,F,Buddy,3

,15,8,Notification,EventB,1985-05-12,Bob,456 Oak Ave,Los Angeles,39,M,Max,5

12,10,,Warning,EventC,1992-07-23,Charlie,789 Pine Rd,Chicago,31,M,Bella,2

8,,6,Reminder,EventD,1988-03-05,Diana,321 Maple Dr,Houston,36,F,Charlie,4

,14,7,Update,EventE,1995-12-30,Ethan,654 Birch Ln,Phoenix,29,M,Lucy,1

10,13,,Alert,EventF,1980-11-11,Fiona,987 Cedar Ct,Philadelphia,43,F,Daisy,6

7,,5,Notice,EventG,1979-09-09,George,111 Aspen Way,San Antonio,44,M,Milo,7

,12,4,Report,EventH,1993-06-15,Hannah,222 Willow Pl,San Diego,30,F,Luna,2

9,11,,Info,EventI,1991-04-18,Ian,333 Poplar Blvd,Dallas,33,M,Rocky,5

11,,3,Summary,EventJ,1987-10-10,Julia,444 Spruce Trl,San Jose,38,F,Molly,3

 
